selected_generators,num_search_qubits,dimension,seed,train_sample_count,measurement_policy,shots,shots_per_circuit,max_candidates_per_shotbatch,refit_policy,learner,oracle_mode,diagnostic_only,uses_hidden_reference_for_sampling,is_gate_level,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,absolute_gap_to_hidden_best,relative_gap_to_hidden_best,random_exact_success_probability,random_success_within_1_percent_probability,random_success_within_3_percent_probability,random_success_within_5_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,status,error_type,error
"[0, 5]",4,16,0,4,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.0625,0.0625,0.0625,0.0625,5,1,16,1,200,1,18,2,ok,,
"[0, 5]",4,16,0,4,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.1875,0.1875,0.1875,0.1875,7,3,16,1,200,3,18,2,ok,,
"[0, 5]",4,16,0,4,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.3125,0.3125,0.3125,0.3125,9,5,16,13,13,13,18,333,ok,,
"[0, 5]",4,16,0,4,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.3125,0.3125,0.3125,0.3125,9,5,16,13,13,13,18,333,ok,,
"[0, 5]",4,16,0,4,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,6,2,16,0,0,2,0,0,ok,,
"[0, 5]",4,16,0,4,classical_uniform_marked_diagnostic,0,0,3,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,7,3,16,0,0,3,0,0,ok,,
"[0, 5]",4,16,1,4,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,12645.3380396,0.5144937460114913,0.0625,0.0625,0.0625,0.0625,5,1,16,1,200,1,14,2,ok,,
"[0, 5]",4,16,1,4,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,12645.3380396,0.5144937460114913,0.1875,0.1875,0.1875,0.1875,7,3,16,1,200,3,14,2,ok,,
"[0, 5]",4,16,1,4,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,True,True,True,True,0.0,0.0,0.625,0.625,0.625,0.625,14,10,16,25,25,25,14,120,ok,,
"[0, 5]",4,16,1,4,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,True,True,True,True,0.0,0.0,0.625,0.625,0.625,0.625,14,10,16,25,25,25,14,120,ok,,
"[0, 5]",4,16,1,4,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,7,3,16,0,0,3,0,0,ok,,
"[0, 5]",4,16,1,4,classical_uniform_marked_diagnostic,0,0,3,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,7,3,16,0,0,3,0,0,ok,,
"[0, 5]",4,16,2,4,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.0625,0.0625,0.0625,0.0625,5,1,16,1,200,1,18,2,ok,,
"[0, 5]",4,16,2,4,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,True,True,True,True,0.0,0.0,0.1875,0.1875,0.1875,0.1875,7,3,16,1,200,3,18,2,ok,,
"[0, 5]",4,16,2,4,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.25,0.25,0.25,0.25,8,4,16,12,12,12,18,336,ok,,
"[0, 5]",4,16,2,4,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.25,0.25,0.25,0.25,8,4,16,12,12,12,18,336,ok,,
"[0, 5]",4,16,2,4,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,5,1,16,0,0,1,0,0,ok,,
"[0, 5]",4,16,2,4,classical_uniform_marked_diagnostic,0,0,3,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,5,1,16,0,0,1,0,0,ok,,
"[0, 5]",4,16,0,8,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.0625,0.0625,0.0625,0.0625,9,1,16,1,200,1,14,2,ok,,
"[0, 5]",4,16,0,8,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.1875,0.1875,0.1875,0.1875,11,3,16,1,200,3,14,2,ok,,
"[0, 5]",4,16,0,8,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.3125,0.3125,0.3125,0.3125,13,5,16,13,13,13,14,57,ok,,
"[0, 5]",4,16,0,8,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.3125,0.3125,0.3125,0.3125,13,5,16,13,13,13,14,57,ok,,
"[0, 5]",4,16,0,8,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,9,1,16,0,0,1,0,0,ok,,
"[0, 5]",4,16,0,8,classical_uniform_marked_diagnostic,0,0,3,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,12,4,16,0,0,4,0,0,ok,,
"[0, 5]",4,16,1,8,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,6275.344408000001,0.2553214031822208,0.0625,0.0625,0.0625,0.0625,9,1,16,1,200,1,14,2,ok,,
"[0, 5]",4,16,1,8,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,6275.344408000001,0.2553214031822208,0.1875,0.1875,0.1875,0.1875,11,3,16,1,200,3,14,2,ok,,
"[0, 5]",4,16,1,8,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.1875,0.1875,0.1875,0.1875,11,3,16,14,14,14,14,84,ok,,
"[0, 5]",4,16,1,8,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.1875,0.1875,0.1875,0.1875,11,3,16,14,14,14,14,84,ok,,
"[0, 5]",4,16,1,8,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,10,2,16,0,0,2,0,0,ok,,
"[0, 5]",4,16,1,8,classical_uniform_marked_diagnostic,0,0,3,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,12,4,16,0,0,4,0,0,ok,,
"[0, 5]",4,16,2,8,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.0625,0.0625,0.0625,0.0625,9,1,16,1,200,1,14,2,ok,,
"[0, 5]",4,16,2,8,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,True,True,True,True,0.0,0.0,0.125,0.125,0.125,0.125,10,2,16,1,200,3,14,2,ok,,
"[0, 5]",4,16,2,8,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.1875,0.1875,0.1875,0.1875,11,3,16,12,12,12,14,53,ok,,
"[0, 5]",4,16,2,8,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,5012.202733973529,0.2039286693875248,0.1875,0.1875,0.1875,0.1875,11,3,16,12,12,12,14,53,ok,,
"[0, 5]",4,16,2,8,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,11,3,16,0,0,3,0,0,ok,,
"[0, 5]",4,16,2,8,classical_uniform_marked_diagnostic,0,0,3,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,11,3,16,0,0,3,0,0,ok,,
"[0, 1, 2]",6,64,0,8,shot_batch,200,200,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.03125,0.03125,0.03125,0.03125,10,2,64,1,200,1,16,2,ok,,
"[0, 1, 2]",6,64,0,8,shot_batch,200,200,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.0625,0.0625,0.0625,0.0625,12,4,64,1,200,3,16,2,ok,,
"[0, 1, 2]",6,64,0,8,single_shot_repeated,200,1,1,none,mismatch,learned,False,False,True,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.140625,0.140625,0.140625,0.140625,17,9,64,13,13,13,16,150,ok,,
"[0, 1, 2]",6,64,0,8,single_shot_repeated,200,1,3,none,mismatch,learned,False,False,True,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.140625,0.140625,0.140625,0.140625,17,9,64,13,13,13,16,150,ok,,
"[0, 1, 2]",6,64,0,8,classical_uniform_marked_diagnostic,0,0,1,none,hidden_reference,hidden_perfect_uniform_marked,True,True,False,False,False,True,True,True,True,0.0,0.0,,,,,13,5,64,0,0,5,0,0,ok,,
