selected_generators,num_search_qubits,dimension,seed,train_sample_count,measurement_policy,shots,shots_per_circuit,max_candidates_per_shotbatch,refit_policy,learner,oracle_mode,diagnostic_only,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,absolute_gap_to_hidden_best,relative_gap_to_hidden_best,random_exact_success_probability,random_success_within_1_percent_probability,random_success_within_3_percent_probability,random_success_within_5_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,status,error
"[0, 5]",4,16,0,4,single_shot,1,1,1,none,mismatch,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.25,0.25,0.25,0.25,8,4,16,3,3,3,18,168,ok,
"[0, 5]",4,16,0,4,single_shot,1,1,1,none,pairwise_ranking,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.1875,0.1875,0.1875,0.1875,7,3,16,3,3,3,22,168,ok,
"[0, 5]",4,16,0,4,single_shot,1,1,1,accepted,mismatch,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.1875,0.1875,0.1875,0.1875,7,3,16,3,3,3,18,40,ok,
"[0, 5]",4,16,0,4,single_shot,1,1,1,accepted,pairwise_ranking,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.1875,0.1875,0.1875,0.1875,7,3,16,3,3,3,22,170,ok,
"[0, 5]",4,16,0,4,shot_batch,2000,2000,1,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,8,4,16,3,6000,3,18,174,ok,
"[0, 5]",4,16,0,4,shot_batch,2000,2000,1,none,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,8,4,16,3,6000,3,22,170,ok,
"[0, 5]",4,16,0,4,shot_batch,2000,2000,1,accepted,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,8,4,16,3,6000,3,18,36,ok,
"[0, 5]",4,16,0,4,shot_batch,2000,2000,1,accepted,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.25,0.25,0.25,0.25,8,4,16,3,6000,3,22,170,ok,
"[0, 5]",4,16,0,4,shot_batch,2000,2000,3,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.4375,0.4375,0.4375,0.4375,11,7,16,3,6000,9,18,174,ok,
"[0, 5]",4,16,0,4,shot_batch,2000,2000,3,none,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.5,0.5,0.5,0.5,12,8,16,3,6000,9,22,170,ok,
