selected_generators,num_search_qubits,dimension,seed,train_sample_count,backend,shots,measurement_policy,max_candidates_per_shotbatch,oracle_mode,learner,refit_policy,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,random_exact_success_probability,random_success_within_3_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,learner_fallback,train_pairwise_order_accuracy,train_best_rank,train_best_bitstring,train_best_true_cost,num_pairs,num_pairwise_violations,pairwise_hinge_loss,surrogate_piece_count,surrogate_max_weight,surrogate_total_weight,refit_count,observed_sample_count,observed_indices,status,error_type,error
"[0, 5]",4,16,0,4,qasm,2000,shot_batch,3,learned,mismatch,none,False,False,True,True,True,True,0.75,0.75,16,12,16,13,26000,39,18,345,,0.6666666666666666,1,1101,30948.208892,6,2,3.0,2,3,7,0,4,"[5, 8, 9, 11]",ok,,
"[0, 5]",4,16,0,4,qasm,2000,shot_batch,3,learned,mismatch,accepted,False,False,True,True,True,True,0.625,0.625,14,10,16,13,26000,39,18,69,,0.6666666666666666,1,1101,30948.208892,6,2,3.0,2,3,7,1,5,"[3, 5, 8, 9, 11]",ok,,
"[0, 5]",4,16,0,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,none,False,False,True,True,True,True,0.75,0.75,16,12,16,13,26000,39,22,337,,0.6666666666666666,1,1101,30948.208892,6,2,4.0,2,3,10,0,4,"[5, 8, 9, 11]",ok,,
"[0, 5]",4,16,0,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,accepted,False,False,True,True,True,True,0.75,0.75,16,12,16,13,26000,39,22,336,,0.6666666666666666,1,1101,30948.208892,6,2,4.0,2,3,10,1,5,"[3, 5, 8, 9, 11]",ok,,
"[0, 5]",4,16,0,4,qasm,2000,shot_batch,3,learned,rank_hinge,none,False,False,True,True,True,True,0.6875,0.6875,15,11,16,13,26000,39,11,41,,0.8333333333333334,1,1101,30948.208892,6,1,1.0,2,2,3,0,4,"[5, 8, 9, 11]",ok,,
"[0, 5]",4,16,0,4,qasm,2000,shot_batch,3,learned,rank_hinge,accepted,False,False,True,True,True,True,0.6875,0.6875,15,11,16,13,26000,39,18,345,,0.8333333333333334,1,1101,30948.208892,6,1,1.0,2,2,3,1,5,"[3, 5, 8, 9, 11]",ok,,
"[0, 5]",4,16,1,4,qasm,2000,shot_batch,3,learned,mismatch,none,False,False,True,True,True,True,0.6875,0.6875,15,11,16,14,28000,42,14,120,,0.5,1,1110,30853.5596684,6,3,3.0,2,1,4,0,4,"[6, 7, 11, 15]",ok,,
"[0, 5]",4,16,1,4,qasm,2000,shot_batch,3,learned,mismatch,accepted,False,False,True,True,True,True,0.6875,0.6875,15,11,16,14,28000,42,18,90,,0.5,1,1110,30853.5596684,6,3,3.0,2,1,4,2,6,"[0, 3, 6, 7, 11, 15]",ok,,
"[0, 5]",4,16,1,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,none,False,False,True,True,True,True,0.625,0.625,14,10,16,14,28000,42,18,496,,0.5,1,1110,30853.5596684,6,3,3.0,2,2,7,0,4,"[6, 7, 11, 15]",ok,,
"[0, 5]",4,16,1,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,accepted,False,False,True,True,True,True,0.6875,0.6875,15,11,16,14,28000,42,22,522,,0.5,1,1110,30853.5596684,6,3,3.0,2,2,7,2,6,"[0, 3, 6, 7, 11, 15]",ok,,
"[0, 5]",4,16,1,4,qasm,2000,shot_batch,3,learned,rank_hinge,none,False,False,True,True,True,True,0.75,0.75,16,12,16,14,28000,42,8,50,,0.5,1,1110,30853.5596684,6,3,3.0,2,1,2,0,4,"[6, 7, 11, 15]",ok,,
"[0, 5]",4,16,1,4,qasm,2000,shot_batch,3,learned,rank_hinge,accepted,False,False,True,True,True,True,0.3125,0.3125,9,5,16,2,4000,6,11,2,,0.5,1,1110,30853.5596684,6,3,3.0,2,1,2,2,6,"[0, 3, 6, 7, 11, 15]",ok,,
"[0, 5]",4,16,2,4,qasm,2000,shot_batch,3,learned,mismatch,none,False,False,True,True,True,True,0.625,0.625,14,10,16,13,26000,39,18,336,,0.8333333333333334,1,1000,27956.61606872647,6,1,1.0,2,2,6,0,4,"[1, 4, 5, 11]",ok,,
"[0, 5]",4,16,2,4,qasm,2000,shot_batch,3,learned,mismatch,accepted,False,False,True,True,True,True,0.625,0.625,14,10,16,13,26000,39,18,336,,0.8333333333333334,1,1000,27956.61606872647,6,1,1.0,2,2,6,1,5,"[1, 3, 4, 5, 11]",ok,,
"[0, 5]",4,16,2,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,none,False,False,True,True,True,True,0.6875,0.6875,15,11,16,13,26000,39,22,337,,0.8333333333333334,1,1000,27956.61606872647,6,1,2.0,2,3,10,0,4,"[1, 4, 5, 11]",ok,,
"[0, 5]",4,16,2,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,accepted,False,False,True,True,True,True,0.6875,0.6875,15,11,16,13,26000,39,25,664,,0.8333333333333334,1,1000,27956.61606872647,6,1,2.0,2,3,10,1,5,"[1, 3, 4, 5, 11]",ok,,
"[0, 5]",4,16,2,4,qasm,2000,shot_batch,3,learned,rank_hinge,none,False,False,True,True,True,True,0.625,0.625,14,10,16,13,26000,39,11,57,,1.0,1,1000,27956.61606872647,6,0,0.0,2,2,4,0,4,"[1, 4, 5, 11]",ok,,
"[0, 5]",4,16,2,4,qasm,2000,shot_batch,3,learned,rank_hinge,accepted,False,False,True,True,True,True,0.625,0.625,14,10,16,13,26000,39,18,349,,1.0,1,1000,27956.61606872647,6,0,0.0,2,2,4,1,5,"[1, 3, 4, 5, 11]",ok,,
"[0, 5]",4,16,3,4,qasm,2000,shot_batch,3,learned,mismatch,none,False,False,True,True,True,True,0.75,0.75,16,12,16,17,34000,51,18,336,,1.0,1,1000,27956.61606872647,6,0,0.0,2,2,7,0,4,"[1, 2, 4, 10]",ok,,
"[0, 5]",4,16,3,4,qasm,2000,shot_batch,3,learned,mismatch,accepted,False,False,True,True,True,True,0.75,0.75,16,12,16,17,34000,51,18,336,,1.0,1,1000,27956.61606872647,6,0,0.0,2,2,7,3,5,"[1, 2, 3, 4, 10]",ok,,
"[0, 5]",4,16,3,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,none,False,False,True,True,True,True,0.75,0.75,16,12,16,17,34000,51,18,349,,0.8333333333333334,1,1000,27956.61606872647,6,1,1.0,2,3,9,0,4,"[1, 2, 4, 10]",ok,,
"[0, 5]",4,16,3,4,qasm,2000,shot_batch,3,learned,pairwise_ranking,accepted,False,False,True,True,True,True,0.75,0.75,16,12,16,17,34000,51,25,664,,0.8333333333333334,1,1000,27956.61606872647,6,1,1.0,2,3,9,3,5,"[1, 2, 3, 4, 10]",ok,,
"[0, 5]",4,16,3,4,qasm,2000,shot_batch,3,learned,rank_hinge,none,False,False,True,True,True,True,0.6875,0.6875,15,11,16,17,34000,51,15,497,,1.0,1,1000,27956.61606872647,6,0,0.0,2,2,4,0,4,"[1, 2, 4, 10]",ok,,
"[0, 5]",4,16,3,4,qasm,2000,shot_batch,3,learned,rank_hinge,accepted,False,False,True,True,True,True,0.75,0.75,16,12,16,17,34000,51,15,492,,1.0,1,1000,27956.61606872647,6,0,0.0,2,2,4,3,5,"[1, 2, 3, 4, 10]",ok,,
