config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,5","[0, 5]",4,16,0,4,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1100,24578.2152604,True,10,16,13,26000,18,38,345,ok,
"0,5","[0, 5]",4,16,1,4,True,True,False,False,1100,24578.2152604,1111,37223.5533,1000,27956.61606872647,False,9,16,15,30000,14,56,120,ok,
"0,5","[0, 5]",4,16,2,4,True,True,False,False,1100,24578.2152604,1000,27956.61606872647,1100,24578.2152604,True,9,16,13,26000,18,38,336,ok,
"0,5","[0, 5]",4,16,3,4,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1100,24578.2152604,True,11,16,20,40000,18,56,502,ok,
"0,5","[0, 5]",4,16,4,4,True,True,False,False,1100,24578.2152604,1000,27956.61606872647,1000,27956.61606872647,False,8,16,12,24000,14,56,96,ok,
"0,5","[0, 5]",4,16,5,4,True,True,False,False,1100,24578.2152604,1010,34256.00041105882,1100,24578.2152604,True,12,16,22,44000,18,33,331,ok,
"0,5","[0, 5]",4,16,6,4,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1101,30948.208892,False,10,16,17,34000,14,56,114,ok,
"0,5","[0, 5]",4,16,7,4,True,True,False,False,1100,24578.2152604,0010,34982.080031314705,1000,27956.61606872647,False,8,16,13,26000,18,56,502,ok,
"0,5","[0, 5]",4,16,8,4,True,True,False,False,1100,24578.2152604,0011,40544.87922298824,1000,27956.61606872647,False,8,16,14,28000,18,20,173,ok,
"0,5","[0, 5]",4,16,9,4,True,True,False,False,1100,24578.2152604,0011,40544.87922298824,1100,24578.2152604,True,15,16,26,52000,14,56,90,ok,
"0,5","[0, 5]",4,16,10,4,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,1100,24578.2152604,True,12,16,17,34000,18,55,495,ok,
"0,5","[0, 5]",4,16,11,4,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,0100,28212.01718604706,False,7,16,14,28000,18,56,517,ok,
"0,5","[0, 5]",4,16,12,4,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,1100,24578.2152604,True,11,16,13,26000,18,56,495,ok,
"0,5","[0, 5]",4,16,13,4,True,True,False,False,1100,24578.2152604,0010,34982.080031314705,0010,34982.080031314705,False,6,16,12,24000,18,56,514,ok,
"0,5","[0, 5]",4,16,14,4,True,True,False,False,1100,24578.2152604,1011,39794.7596684,1000,27956.61606872647,False,9,16,17,34000,14,38,65,ok,
"0,5","[0, 5]",4,16,15,4,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1000,27956.61606872647,False,13,16,16,32000,18,55,499,ok,
"0,5","[0, 5]",4,16,16,4,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1000,27956.61606872647,False,13,16,24,48000,18,56,496,ok,
"0,5","[0, 5]",4,16,17,4,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1000,27956.61606872647,False,13,16,25,50000,14,38,77,ok,
"0,5","[0, 5]",4,16,18,4,True,True,False,False,1100,24578.2152604,1000,27956.61606872647,1100,24578.2152604,True,9,16,13,26000,14,55,120,ok,
"0,5","[0, 5]",4,16,19,4,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1000,27956.61606872647,False,13,16,14,28000,14,56,90,ok,
"0,5","[0, 5]",4,16,0,6,True,True,False,False,1100,24578.2152604,0111,39973.672854588236,1100,24578.2152604,True,9,16,13,26000,14,33,77,ok,
"0,5","[0, 5]",4,16,1,6,True,True,False,False,1100,24578.2152604,1110,30853.5596684,1000,27956.61606872647,False,12,16,31,62000,18,55,495,ok,
"0,5","[0, 5]",4,16,2,6,True,True,False,False,1100,24578.2152604,1101,30948.208892,1100,24578.2152604,True,11,16,13,26000,14,38,57,ok,
"0,5","[0, 5]",4,16,3,6,True,True,False,False,1100,24578.2152604,1110,30853.5596684,1100,24578.2152604,True,10,16,20,40000,14,55,90,ok,
"0,5","[0, 5]",4,16,4,6,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1110,30853.5596684,False,9,16,17,34000,14,56,96,ok,
"0,5","[0, 5]",4,16,5,6,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,0100,28212.01718604706,False,11,16,16,32000,14,33,73,ok,
"0,5","[0, 5]",4,16,6,6,True,True,False,False,1100,24578.2152604,0101,34582.01081764706,1110,30853.5596684,False,9,16,15,30000,14,56,114,ok,
"0,5","[0, 5]",4,16,7,6,True,True,False,False,1100,24578.2152604,0111,39973.672854588236,1000,27956.61606872647,False,10,16,13,26000,14,56,96,ok,
"0,5","[0, 5]",4,16,8,6,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1000,27956.61606872647,False,9,16,14,28000,14,19,32,ok,
"0,5","[0, 5]",4,16,9,6,True,True,False,False,1100,24578.2152604,0111,39973.672854588236,1100,24578.2152604,True,12,16,28,56000,14,56,84,ok,
"0,5","[0, 5]",4,16,10,6,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,1100,24578.2152604,True,10,16,17,34000,18,55,502,ok,
"0,5","[0, 5]",4,16,11,6,True,True,False,False,1100,24578.2152604,0111,39973.672854588236,0100,28212.01718604706,False,10,16,15,30000,14,56,114,ok,
"0,5","[0, 5]",4,16,12,6,True,True,False,False,1100,24578.2152604,0010,34982.080031314705,1100,24578.2152604,True,11,16,13,26000,14,55,90,ok,
"0,5","[0, 5]",4,16,13,6,True,True,False,False,1100,24578.2152604,1111,37223.5533,1000,27956.61606872647,False,9,16,16,32000,14,49,84,ok,
"0,5","[0, 5]",4,16,14,6,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1000,27956.61606872647,False,10,16,17,34000,18,38,336,ok,
"0,5","[0, 5]",4,16,15,6,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,1100,24578.2152604,True,13,16,22,44000,14,56,102,ok,
"0,5","[0, 5]",4,16,16,6,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,0000,29590.41799437353,False,12,16,12,24000,14,56,114,ok,
"0,5","[0, 5]",4,16,17,6,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1000,27956.61606872647,False,12,16,25,50000,14,38,77,ok,
"0,5","[0, 5]",4,16,18,6,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1100,24578.2152604,True,9,16,13,26000,18,55,495,ok,
"0,5","[0, 5]",4,16,19,6,True,True,False,False,1100,24578.2152604,1101,30948.208892,0100,28212.01718604706,False,12,16,20,40000,14,56,108,ok,
