config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,training_contains_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,5","[0, 5]",4,16,0,4,True,False,1100,24578.2152604,1100,24578.2152604,True,10,16,9,9000,18,38,345,ok,
"0,5","[0, 5]",4,16,1,4,True,False,1100,24578.2152604,1000,27956.61606872647,False,8,16,10,10000,14,38,81,ok,
"0,5","[0, 5]",4,16,2,4,True,False,1100,24578.2152604,1100,24578.2152604,True,8,16,9,9000,18,38,336,ok,
"0,5","[0, 5]",4,16,0,8,True,False,1100,24578.2152604,1100,24578.2152604,True,12,16,9,9000,14,38,57,ok,
"0,5","[0, 5]",4,16,1,8,True,False,1100,24578.2152604,1000,27956.61606872647,False,11,16,10,10000,14,38,57,ok,
"0,5","[0, 5]",4,16,2,8,True,False,1100,24578.2152604,1100,24578.2152604,True,12,16,9,9000,14,38,57,ok,
"0,5","[0, 5]",4,16,0,12,True,False,1100,24578.2152604,1100,24578.2152604,True,14,16,9,9000,14,38,57,ok,
"0,5","[0, 5]",4,16,1,12,True,False,1100,24578.2152604,1000,27956.61606872647,False,13,16,10,10000,14,38,57,ok,
"0,5","[0, 5]",4,16,2,12,True,False,1100,24578.2152604,1100,24578.2152604,True,14,16,9,9000,14,38,57,ok,
"0,1","[0, 1]",4,16,0,4,True,False,1100,33223.5533,1100,33223.5533,True,10,16,9,9000,18,38,345,ok,
"0,1","[0, 1]",4,16,1,4,True,False,1100,33223.5533,1111,37223.5533,False,6,16,8,8000,18,38,345,ok,
"0,1","[0, 1]",4,16,2,4,True,False,1100,33223.5533,1100,33223.5533,True,8,16,9,9000,18,38,336,ok,
"0,1","[0, 1]",4,16,0,8,True,False,1100,33223.5533,1100,33223.5533,True,12,16,9,9000,14,38,77,ok,
"0,1","[0, 1]",4,16,1,8,True,False,1100,33223.5533,1100,33223.5533,True,11,16,13,13000,14,38,77,ok,
"0,1","[0, 1]",4,16,2,8,True,False,1100,33223.5533,1100,33223.5533,True,12,16,9,9000,14,38,77,ok,
"0,1","[0, 1]",4,16,0,12,True,False,1100,33223.5533,1100,33223.5533,True,14,16,9,9000,14,38,77,ok,
"0,1","[0, 1]",4,16,1,12,True,False,1100,33223.5533,1000,35794.7596684,False,13,16,10,10000,14,38,77,ok,
"0,1","[0, 1]",4,16,2,12,True,False,1100,33223.5533,1100,33223.5533,True,14,16,9,9000,14,38,77,ok,
"0,1,5","[0, 1, 5]",6,64,0,4,True,False,110000,20578.2152604,100100,27956.61606872647,False,20,64,16,16000,24,38,489,ok,
"0,1,5","[0, 1, 5]",6,64,1,4,True,False,110000,20578.2152604,001100,29590.41799437353,False,15,64,12,12000,24,20,248,ok,
"0,1,5","[0, 1, 5]",6,64,2,4,True,False,110000,20578.2152604,101100,27956.61606872647,False,15,64,11,11000,24,20,244,ok,
"0,1,5","[0, 1, 5]",6,64,0,8,True,False,110000,20578.2152604,011100,28212.01718604706,False,14,64,9,9000,16,38,101,ok,
"0,1,5","[0, 1, 5]",6,64,1,8,True,False,110000,20578.2152604,001100,29590.41799437353,False,20,64,17,17000,20,38,494,ok,
"0,1,5","[0, 1, 5]",6,64,2,8,True,False,110000,20578.2152604,110000,20578.2152604,True,15,64,8,8000,24,38,489,ok,
"0,1,5","[0, 1, 5]",6,64,0,12,True,False,110000,20578.2152604,011100,28212.01718604706,False,20,64,9,9000,20,38,493,ok,
"0,1,5","[0, 1, 5]",6,64,1,12,True,False,110000,20578.2152604,100100,27956.61606872647,False,19,64,14,14000,20,38,497,ok,
"0,1,5","[0, 1, 5]",6,64,2,12,True,False,110000,20578.2152604,100100,27956.61606872647,False,19,64,8,8000,24,38,488,ok,
