config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,training_contains_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,5","[0, 5]",4,16,0,4,False,False,1100,24578.2152604,1100,24578.2152604,True,10,16,9,9000,14,38,69,ok,
"0,5","[0, 5]",4,16,1,4,False,False,1100,24578.2152604,1000,27956.61606872647,False,8,16,10,10000,14,38,81,ok,
"0,5","[0, 5]",4,16,2,4,False,True,1100,24578.2152604,1100,24578.2152604,True,6,16,9,9000,18,38,336,ok,
"0,5","[0, 5]",4,16,0,8,False,True,1100,24578.2152604,1100,24578.2152604,True,10,16,9,9000,14,38,61,ok,
"0,5","[0, 5]",4,16,1,8,False,False,1100,24578.2152604,1000,27956.61606872647,False,12,16,10,10000,14,37,61,ok,
"0,5","[0, 5]",4,16,2,8,False,True,1100,24578.2152604,1100,24578.2152604,True,12,16,9,9000,14,38,61,ok,
"0,5","[0, 5]",4,16,0,12,False,True,1100,24578.2152604,1100,24578.2152604,True,14,16,9,9000,14,38,61,ok,
"0,5","[0, 5]",4,16,1,12,False,True,1100,24578.2152604,1000,27956.61606872647,False,14,16,10,10000,18,38,336,ok,
"0,5","[0, 5]",4,16,2,12,False,True,1100,24578.2152604,1100,24578.2152604,True,12,16,9,9000,14,38,61,ok,
"0,1","[0, 1]",4,16,0,4,False,False,1100,33223.5533,1100,33223.5533,True,10,16,9,9000,14,38,69,ok,
"0,1","[0, 1]",4,16,1,4,False,False,1100,33223.5533,1111,37223.5533,False,6,16,8,8000,18,38,345,ok,
"0,1","[0, 1]",4,16,2,4,False,True,1100,33223.5533,1100,33223.5533,True,6,16,9,9000,18,38,349,ok,
"0,1","[0, 1]",4,16,0,8,False,True,1100,33223.5533,1100,33223.5533,True,10,16,9,9000,14,38,69,ok,
"0,1","[0, 1]",4,16,1,8,False,False,1100,33223.5533,1101,37223.5533,False,13,16,15,15000,14,20,42,ok,
"0,1","[0, 1]",4,16,2,8,False,True,1100,33223.5533,1100,33223.5533,True,12,16,9,9000,14,38,81,ok,
"0,1","[0, 1]",4,16,0,12,False,True,1100,33223.5533,1100,33223.5533,True,14,16,9,9000,14,38,81,ok,
"0,1","[0, 1]",4,16,1,12,False,True,1100,33223.5533,1000,35794.7596684,False,14,16,10,10000,14,38,81,ok,
"0,1","[0, 1]",4,16,2,12,False,True,1100,33223.5533,1100,33223.5533,True,12,16,9,9000,14,38,81,ok,
"0,1,5","[0, 1, 5]",6,64,0,4,False,False,110000,20578.2152604,100100,27956.61606872647,False,19,64,16,16000,24,38,484,ok,
"0,1,5","[0, 1, 5]",6,64,1,4,False,False,110000,20578.2152604,110011,33223.5533,False,13,64,15,15000,24,38,488,ok,
"0,1,5","[0, 1, 5]",6,64,2,4,False,False,110000,20578.2152604,101100,27956.61606872647,False,11,64,11,11000,24,20,250,ok,
"0,1,5","[0, 1, 5]",6,64,0,8,False,False,110000,20578.2152604,011100,28212.01718604706,False,13,64,9,9000,20,38,497,ok,
"0,1,5","[0, 1, 5]",6,64,1,8,False,False,110000,20578.2152604,110011,33223.5533,False,16,64,12,12000,24,20,248,ok,
"0,1,5","[0, 1, 5]",6,64,2,8,False,False,110000,20578.2152604,110000,20578.2152604,True,15,64,8,8000,20,38,488,ok,
"0,1,5","[0, 1, 5]",6,64,0,12,False,False,110000,20578.2152604,011100,28212.01718604706,False,18,64,9,9000,24,38,497,ok,
"0,1,5","[0, 1, 5]",6,64,1,12,False,False,110000,20578.2152604,100100,27956.61606872647,False,19,64,12,12000,16,20,52,ok,
"0,1,5","[0, 1, 5]",6,64,2,12,False,False,110000,20578.2152604,100100,27956.61606872647,False,18,64,8,8000,20,38,488,ok,
